Oct 15 2018 22:25:21, Service Started
Oct 15 2018 22:26:00, 
Oct 15 2018 22:26:00, Checking jobs for Deck
Oct 15 2018 22:26:00, Checking jobs for Tank
Oct 15 2018 22:26:00, {"functName": "turnOn", "deviceID": "3b0026000447343337373738", "accessToken": "51d2491f8b4ec232aecfe0aa1ef33d1278dad9f0", "data": "3,180"}
Oct 15 2018 22:26:01, device 'Tank' not found
Oct 15 2018 22:26:01, Checking jobs for Testing
Oct 15 2018 22:27:00, 
Oct 15 2018 22:27:00, Checking jobs for Deck
Oct 15 2018 22:27:00, Checking jobs for Tank
Oct 15 2018 22:27:00, {"functName": "turnOn", "deviceID": "3b0026000447343337373738", "accessToken": "51d2491f8b4ec232aecfe0aa1ef33d1278dad9f0", "data": "3,180"}
Oct 15 2018 22:27:02, device 'Tank' not found
Oct 15 2018 22:27:02, Checking jobs for Testing
Oct 15 2018 22:28:00, 
Oct 15 2018 22:28:00, Checking jobs for Deck
Oct 15 2018 22:28:00, Checking jobs for Tank
Oct 15 2018 22:28:00, {"functName": "turnOn", "deviceID": "3b0026000447343337373738", "accessToken": "51d2491f8b4ec232aecfe0aa1ef33d1278dad9f0", "data": "3,180"}
Oct 15 2018 22:28:02, device 'Tank' not found
Oct 15 2018 22:28:02, Checking jobs for Testing
Oct 15 2018 22:29:00, 
Oct 15 2018 22:29:00, Checking jobs for Deck
Oct 15 2018 22:29:00, Checking jobs for Tank
Oct 15 2018 22:29:00, Checking jobs for Testing
Oct 15 2018 22:29:00, {"functName": "turnOn", "deviceID": "200033000b47363433353735", "accessToken": "51d2491f8b4ec232aecfe0aa1ef33d1278dad9f0", "data": "3,180"}
Oct 15 2018 22:29:04, {"id":"200033000b47363433353735","last_app":"","connected":true,"return_value":1}
Oct 15 2018 22:30:00, 
Oct 15 2018 22:30:00, Checking jobs for Deck
Oct 15 2018 22:30:00, Checking jobs for Tank
Oct 15 2018 22:30:00, Checking jobs for Testing
Oct 15 2018 22:31:00, 
Oct 15 2018 22:31:00, Checking jobs for Deck
Oct 15 2018 22:31:00, Checking jobs for Tank
Oct 15 2018 22:31:00, Checking jobs for Testing
Oct 15 2018 22:32:00, 
Oct 15 2018 22:32:00, Checking jobs for Deck
Oct 15 2018 22:32:00, Checking jobs for Tank
Oct 15 2018 22:32:00, Checking jobs for Testing
Oct 15 2018 22:33:00, 
Oct 15 2018 22:33:00, Checking jobs for Deck
Oct 15 2018 22:33:00, Checking jobs for Tank
Oct 15 2018 22:33:00, Checking jobs for Testing
Oct 15 2018 22:33:00, {"functName": "turnOn", "deviceID": "200033000b47363433353735", "accessToken": "51d2491f8b4ec232aecfe0aa1ef33d1278dad9f0", "data": "3,180"}
Oct 15 2018 22:33:02, {"id":"200033000b47363433353735","last_app":"","connected":true,"return_value":1}
Oct 15 2018 22:33:47, Service stopped: Keyboard exception received. Exiting.
Oct 15 2018 22:35:36, Service Started
Oct 15 2018 22:36:10, 
Oct 15 2018 22:37:00, 
Oct 15 2018 22:37:00, {"functName": "turnOn", "deviceID": "200033000b47363433353735", "accessToken": "51d2491f8b4ec232aecfe0aa1ef33d1278dad9f0", "data": "3,180"}
Oct 15 2018 22:37:02, {"id":"200033000b47363433353735","last_app":"","connected":true,"return_value":1}
Oct 15 2018 22:38:00, 
Oct 15 2018 22:39:00, 
Oct 15 2018 22:40:00, 
